Date;Product; Registered ; DAU ; MAU ; Messages/day ; Funding ; Funding Cum ; Evaluation ; Revenues ; Profit ; Swipes/day ; Matches/day ; Matches Cum ; Source 
18-03-10;KakaoTalk;1;1;1;1;;;;;;;;;
15-09-10;KakaoTalk;1000000;;;;;;;;;;;;english.yonhapnews.co.kr
15-12-10;KakaoTalk;5000000;;;;;;;;;;;;english.yonhapnews.co.kr
15-04-11;KakaoTalk;10000000;;;;;;;;;;;;english.yonhapnews.co.kr
15-07-11;KakaoTalk;20000000;;;;;;;;;;;;english.yonhapnews.co.kr
15-11-11;KakaoTalk;30000000;;;;;;;;;;;;english.yonhapnews.co.kr
15-03-12;KakaoTalk;40000000;;;;;;;;;;;;english.yonhapnews.co.kr
16-06-12;KakaoTalk;50000000;;;;;;;;;;;;english.yonhapnews.co.kr
15-09-12;KakaoTalk;60000000;;;;;;;;;;;;english.yonhapnews.co.kr
15-12-12;KakaoTalk;70000000;;;;;;;;;;;;english.yonhapnews.co.kr
31-12-12;KakaoTalk;;;;;;;;45000000;7000000;;;;
15-02-13;KakaoTalk;80000000;;;;;;;;;;;;english.yonhapnews.co.kr
15-04-13;KakaoTalk;89000000;;;;;;;;;;;;english.yonhapnews.co.kr
15-07-13;KakaoTalk;100000000;;;;;;;;;;;;english.yonhapnews.co.kr
15-12-13;KakaoTalk;130000000;;;;;;;;;;;;english.yonhapnews.co.kr
31-12-13;KakaoTalk;;;;;;;;203000000;59000000;;;;
15-04-14;KakaoTalk;140000000;;;;;;;;;;;;english.yonhapnews.co.kr
15-08-14;KakaoTalk;152000000;;;5200000000;;;;;;;;;english.yonhapnews.co.kr
19-10-10;KIK;1;1;1;;;;;;;;;;http://en.wikipedia.org/wiki/Kik_Messenger
25-10-10;KIK;1000000;;;;;;;;;;;;http://en.wikipedia.org/wiki/Kik_Messenger
01-07-11;KIK;;;;;8000000;;;;;;;;https://gigaom.com/2013/04/22/kik-raises-19-5m-to-continue-waging-its-messaging-war/
22-04-13;KIK;50000000;;;;19500000;;;;;;;;https://gigaom.com/2013/04/22/kik-raises-19-5m-to-continue-waging-its-messaging-war/
12-12-13;KIK;100000000;;;;;;;;;;;;https://gigaom.com/2013/12/12/kik-emerges-from-the-ott-messaging-wars-with-100m-users/
15-05-14;KIK;120000000;;;;;;;;;;;;http://en.wikipedia.org/wiki/Kik_Messenger
18-07-14;KIK;140000000;;;;;;;;;;;;http://www.slideshare.net/ZoobeApp/mobile-messaging-wars-facebook-messenger-whatsapp-line-kakaotalk-viber-tango-wechat
15-11-14;KIK;;;;;38300000;;;;;;;;http://en.wikipedia.org/wiki/Kik_Messenger
15-06-11;Line;1;1;1;1;;;;;;;;;
15-12-11;Line;10000000;;;;;;;;;;;;techinasia.com
15-04-12;Line;30000000;;;;;;;;;;;;techinasia.com
15-07-12;Line;50000000;;;;;;;;;;;;techinasia.com
15-11-12;Line;80000000;;;;;;;;;;;;techinasia.com
15-11-12;Line;;;;;;;;18332600;;;;;linecorp.com
15-01-13;Line;100000000;;;;;;;0;;;;;techinasia.com
15-02-13;Line;;;;;;;;37498500;;;;;linecorp.com
15-03-13;Line;120000000;;;;;;;0;;;;;techinasia.com
15-04-13;Line;150000000;;;;;;;0;;;;;techinasia.com
15-05-13;Line;160000000;;;;;;;0;;;;;techinasia.com
15-05-13;Line;;;;;;;;61664200;;;;;linecorp.com
15-07-13;Line;200000000;;;;;;;0;;;;;techinasia.com
15-08-13;Line;230000000;;;;;;;0;;;;;techinasia.com
15-08-13;Line;;;;;;;;84996600;;;;;linecorp.com
15-10-13;Line;280000000;;;;;;;0;;;;;techinasia.com
